gene	individual	counts	tissue	sex	path
_scaffold_16_000130.1	indv_2	1198	leaves	male	rddm
_scaffold_16_000127.1	indv_2	312	leaves	male	rddm
_scaffold_16_000124.1	indv_2	1608	leaves	male	rddm
_scaffold_16_000119.1	indv_2	1320	leaves	male	rddm
_scaffold_16_000118.1	indv_2	3312	leaves	male	rddm
_scaffold_16_000117.1	indv_2	1008	leaves	male	rddm
_scaffold_16_000074.1	indv_2	1464	leaves	male	rddm
_scaffold_16_000113.1	indv_2	3768	leaves	male	rddm
_scaffold_16_000110.1	indv_2	72	leaves	male	rddm
_scaffold_16_000081.1	indv_2	4632	leaves	male	rddm
_scaffold_16_000105.1	indv_2	72	leaves	male	rddm
_scaffold_16_000085.1	indv_2	2664	leaves	male	rddm
_scaffold_16_000103.1	indv_2	4392	leaves	male	rddm
_scaffold_16_000102.1	indv_2	24	leaves	male	rddm
_scaffold_16_000101.1	indv_2	120	leaves	male	rddm
_scaffold_16_000100.1	indv_2	24	leaves	male	rddm
_scaffold_16_000099.1	indv_2	48	leaves	male	rddm
_scaffold_16_000097.1	indv_2	264	leaves	male	rddm
_scaffold_16_000096.1	indv_2	227	leaves	male	rddm
_scaffold_16_000095.1	indv_2	5592	leaves	male	rddm
_scaffold_16_000094.1	indv_2	456	leaves	male	rddm
_scaffold_16_000093.1	indv_2	528	leaves	male	rddm
_scaffold_16_000092.1	indv_2	5833	leaves	male	rddm
_scaffold_16_000088.1	indv_2	7344	leaves	male	rddm
_scaffold_41_000003.1	indv_2	3336	leaves	male	rddm
_scaffold_41_000132.1	indv_2	5016	leaves	male	rddm
_scaffold_41_000004.1	indv_2	1704	leaves	male	rddm
_scaffold_41_000009.1	indv_2	552	leaves	male	rddm
_scaffold_41_000011.1	indv_2	648	leaves	male	rddm
_scaffold_41_000130.1	indv_2	1920	leaves	male	rddm
_scaffold_41_000013.1	indv_2	888	leaves	male	rddm
_scaffold_41_000017.1	indv_2	1200	leaves	male	rddm
_scaffold_41_000123.1	indv_2	0	leaves	male	rddm
_scaffold_41_000122.1	indv_2	72	leaves	male	rddm
_scaffold_41_000024.1	indv_2	192	leaves	male	rddm
_scaffold_41_000114.1	indv_2	744	leaves	male	rddm
_scaffold_41_000025.1	indv_2	96	leaves	male	rddm
_scaffold_41_000113.1	indv_2	3312	leaves	male	rddm
_scaffold_41_000111.1	indv_2	120	leaves	male	rddm
_scaffold_41_000110.1	indv_2	384	leaves	male	rddm
_scaffold_41_000108.1	indv_2	1224	leaves	male	rddm
_scaffold_41_000107.1	indv_2	1608	leaves	male	rddm
_scaffold_41_000106.1	indv_2	768	leaves	male	rddm
_scaffold_41_000029.1	indv_2	14856	leaves	male	rddm
_scaffold_41_000030.1	indv_2	8544	leaves	male	rddm
_scaffold_41_000032.1	indv_2	0	leaves	male	rddm
_scaffold_41_000035.1	indv_2	1368	leaves	male	rddm
_scaffold_41_000104.1	indv_2	5184	leaves	male	rddm
_scaffold_41_000103.1	indv_2	1320	leaves	male	rddm
_scaffold_41_000100.1	indv_2	1296	leaves	male	rddm
_scaffold_41_000098.1	indv_2	1680	leaves	male	rddm
_scaffold_41_000097.1	indv_2	4464	leaves	male	rddm
_scaffold_41_000045.1	indv_2	1296	leaves	male	rddm
_scaffold_41_000091.1	indv_2	0	leaves	male	rddm
_scaffold_41_000046.1	indv_2	2136	leaves	male	rddm
_scaffold_41_000088.1	indv_2	3264	leaves	male	rddm
_scaffold_41_000049.1	indv_2	360	leaves	male	rddm
_scaffold_41_000087.1	indv_2	24	leaves	male	rddm
_scaffold_41_000055.1	indv_2	2448	leaves	male	rddm
_scaffold_41_000082.1	indv_2	1272	leaves	male	rddm
_scaffold_41_000081.1	indv_2	0	leaves	male	rddm
_scaffold_41_000080.1	indv_2	144	leaves	male	rddm
_scaffold_41_000068.1	indv_2	984	leaves	male	rddm
_scaffold_41_000069.1	indv_2	2640	leaves	male	rddm
_scaffold_12_000002.1	indv_3	3816	leaves	male	rddm
_scaffold_12_000003.1	indv_3	2112	leaves	male	rddm
_scaffold_12_000518.1	indv_3	360	leaves	male	rddm
_scaffold_12_000516.1	indv_3	1416	leaves	male	rddm
_scaffold_12_000015.1	indv_3	1248	leaves	male	rddm
_scaffold_12_000016.1	indv_3	72	leaves	male	rddm
_scaffold_12_000020.1	indv_3	2451	leaves	male	rddm
_scaffold_12_000022.1	indv_3	264	leaves	male	rddm
_scaffold_12_000023.1	indv_3	3624	leaves	male	rddm
_scaffold_12_000497.1	indv_3	168	leaves	male	rddm
_scaffold_12_000490.1	indv_3	3648	leaves	male	rddm
_chr6_001891.1_1	indv_3	384	leaves	male	rddm
_scaffold_12_000045.1	indv_3	1320	leaves	male	rddm
_scaffold_12_000046.1	indv_3	2794	leaves	male	rddm
_scaffold_12_000487.1	indv_3	3720	leaves	male	rddm
_scaffold_12_000486.1	indv_3	8592	leaves	male	rddm
_scaffold_12_000485.1	indv_3	1320	leaves	male	rddm
_scaffold_12_000484.1	indv_3	3024	leaves	male	rddm
_scaffold_12_000050.1	indv_3	24	leaves	male	rddm
_scaffold_12_000481.1	indv_3	3432	leaves	male	rddm
_scaffold_12_000051.1	indv_3	7837	leaves	male	rddm
_scaffold_12_000052.1	indv_3	1176	leaves	male	rddm
_scaffold_12_000479.1	indv_3	4680	leaves	male	rddm
_scaffold_12_000058.1	indv_3	768	leaves	male	rddm
_scaffold_12_000063.1	indv_3	5736	leaves	male	rddm
_scaffold_12_000470.1	indv_3	576	leaves	male	rddm
_scaffold_12_000066.1	indv_3	8064	leaves	male	rddm
_scaffold_12_000071.1	indv_3	48	leaves	male	rddm
_scaffold_12_000467.1	indv_3	5112	leaves	male	rddm
_scaffold_12_000072.1	indv_3	7527	leaves	male	rddm
_scaffold_12_000463.1	indv_3	1605	leaves	male	rddm
_scaffold_12_000464.1	indv_3	0	leaves	male	rddm
_scaffold_12_000460.1	indv_3	120	leaves	male	rddm
_scaffold_12_000076.1	indv_3	648	leaves	male	rddm
_scaffold_12_000077.1	indv_3	8928	leaves	male	rddm
_scaffold_12_000458.1	indv_3	14760	leaves	male	rddm
_scaffold_12_000455.1	indv_3	168	leaves	male	rddm
_scaffold_12_000454.1	indv_3	192	leaves	male	rddm
_scaffold_12_000088.1	indv_3	96	leaves	male	rddm
_scaffold_12_000105.1	indv_3	1656	leaves	male	rddm
_scaffold_12_000442.1	indv_3	4272	leaves	male	rddm
_scaffold_12_000441.1	indv_3	4080	leaves	male	rddm
_scaffold_12_000439.1	indv_3	2592	leaves	male	rddm
_scaffold_12_000438.1	indv_3	24	leaves	male	rddm
_scaffold_12_000124.1	indv_3	2112	leaves	male	rddm
_scaffold_12_000437.1	indv_3	5640	leaves	male	rddm
_scaffold_12_000126.1	indv_3	864	leaves	male	rddm
_scaffold_12_000436.1	indv_3	408	leaves	male	rddm
_scaffold_12_000127.1	indv_3	14920	leaves	male	rddm
_scaffold_12_000424.1	indv_3	96	leaves	male	rddm
_scaffold_12_000134.1	indv_3	288	leaves	male	rddm
_scaffold_12_000137.1	indv_3	1176	leaves	male	rddm
_scaffold_12_000138.1	indv_3	3024	leaves	male	rddm
_scaffold_12_000416.1	indv_3	6864	leaves	male	rddm
_scaffold_12_000147.1	indv_3	6751	leaves	male	rddm
_scaffold_12_000148.1	indv_3	1752	leaves	male	rddm
_scaffold_12_000405.1	indv_3	6744	leaves	male	rddm
_scaffold_12_000162.1	indv_3	14024	leaves	male	rddm
_scaffold_12_000400.1	indv_3	1536	leaves	male	rddm
_scaffold_12_000398.1	indv_3	852	leaves	male	rddm
_scaffold_12_000163.1	indv_3	312	leaves	male	rddm
_scaffold_12_000396.1	indv_3	1992	leaves	male	rddm
_scaffold_12_000393.1	indv_3	92	leaves	male	rddm
_scaffold_12_000392.1	indv_3	144	leaves	male	rddm
_scaffold_12_000165.1	indv_3	8736	leaves	male	rddm
_scaffold_12_000169.1	indv_3	48	leaves	male	rddm
_scaffold_12_000172.1	indv_3	120	leaves	male	rddm
_scaffold_12_000381.1	indv_3	8208	leaves	male	rddm
_scaffold_12_000378.1	indv_3	672	leaves	male	rddm
_scaffold_12_000174.1	indv_3	9000	leaves	male	rddm
_scaffold_12_000179.1	indv_3	6936	leaves	male	rddm
_scaffold_12_000375.1	indv_3	288	leaves	male	rddm
_scaffold_12_000181.1	indv_3	0	leaves	male	rddm
_scaffold_12_000365.1	indv_3	72	leaves	male	rddm
_scaffold_12_000185.1	indv_3	3744	leaves	male	rddm
_scaffold_12_000360.1	indv_3	4200	leaves	male	rddm
_scaffold_12_000359.1	indv_3	3672	leaves	male	rddm
_scaffold_12_000358.1	indv_3	2088	leaves	male	rddm
_scaffold_12_000357.1	indv_3	168	leaves	male	rddm
_scaffold_12_000354.1	indv_3	1488	leaves	male	rddm
_scaffold_12_000191.1	indv_3	1224	leaves	male	rddm
_scaffold_12_000192.1	indv_3	6146	leaves	male	rddm
_scaffold_12_000193.1	indv_3	456	leaves	male	rddm
_scaffold_12_000195.1	indv_3	5592	leaves	male	rddm
_scaffold_12_000344.1	indv_3	3336	leaves	male	rddm
_scaffold_12_000335.1	indv_3	5712	leaves	male	rddm
_scaffold_12_000330.1	indv_3	1920	leaves	male	rddm
_scaffold_12_000207.1	indv_3	7056	leaves	male	rddm
_scaffold_12_000321.1	indv_3	1944	leaves	male	rddm
_scaffold_12_000316.1	indv_3	2808	leaves	male	rddm
_scaffold_12_000314.1	indv_3	672	leaves	male	rddm
_scaffold_12_000309.1	indv_3	8352	leaves	male	rddm
_scaffold_12_000308.1	indv_3	5880	leaves	male	rddm
_scaffold_12_000222.1	indv_3	3984	leaves	male	rddm
_scaffold_12_000225.1	indv_3	96	leaves	male	rddm
_scaffold_12_000238.1	indv_3	3552	leaves	male	rddm
_scaffold_12_000239.1	indv_3	5913	leaves	male	rddm
_scaffold_12_000243.1	indv_3	556	leaves	male	rddm
_scaffold_12_000245.1	indv_3	96	leaves	male	rddm
_scaffold_12_000253.1	indv_3	648	leaves	male	rddm
_scaffold_12_000283.1	indv_3	2376	leaves	male	rddm
_scaffold_12_000282.1	indv_3	8471	leaves	male	rddm
_scaffold_12_000255.1	indv_3	7493	leaves	male	rddm
_scaffold_12_000279.1	indv_3	840	leaves	male	rddm
_scaffold_12_000276.1	indv_3	4464	leaves	male	rddm
_scaffold_1_004171.1	indv_3	48	leaves	male	rddm
_scaffold_1_004169.1	indv_3	0	leaves	male	rddm
_scaffold_1_000006.1	indv_3	5376	leaves	male	rddm
_scaffold_1_004167.1	indv_3	5808	leaves	male	rddm
_scaffold_1_000011.1	indv_3	10560	leaves	male	rddm
_scaffold_1_000022.1	indv_3	24	leaves	male	rddm
_scaffold_1_000023.1	indv_3	264	leaves	male	rddm
_scaffold_1_000024.1	indv_3	8880	leaves	male	rddm
_scaffold_1_004162.1	indv_3	8760	leaves	male	rddm
_scaffold_1_000026.1	indv_3	768	leaves	male	rddm
_scaffold_1_004158.1	indv_3	0	leaves	male	rddm
_scaffold_1_004153.1	indv_3	2040	leaves	male	rddm
_scaffold_1_000027.1	indv_3	5712	leaves	male	rddm
_scaffold_1_004141.1	indv_3	4920	leaves	male	rddm
_scaffold_1_004140.1	indv_3	264	leaves	male	rddm
_scaffold_1_000034.1	indv_3	216	leaves	male	rddm
_scaffold_1_000043.1	indv_3	2160	leaves	male	rddm
_scaffold_1_000050.1	indv_3	8352	leaves	male	rddm
_scaffold_1_000054.1	indv_3	7800	leaves	male	rddm
_scaffold_1_000056.1	indv_3	1512	leaves	male	rddm
_scaffold_1_000060.1	indv_3	48	leaves	male	rddm
_scaffold_1_004108.1	indv_3	96	leaves	male	rddm
_scaffold_1_004105.1	indv_3	31	leaves	male	rddm
_scaffold_1_000065.1	indv_3	5832	leaves	male	rddm
_scaffold_1_000066.1	indv_3	720	leaves	male	rddm
_scaffold_1_004102.1	indv_3	408	leaves	male	rddm
_scaffold_1_000071.1	indv_3	2832	leaves	male	rddm
_scaffold_1_000078.1	indv_3	984	leaves	male	rddm
_scaffold_1_004095.1	indv_3	2928	leaves	male	rddm
_scaffold_1_000079.1	indv_3	24	leaves	male	rddm
_scaffold_1_000087.1	indv_3	14616	leaves	male	rddm
_scaffold_1_000089.1	indv_3	4608	leaves	male	rddm
_scaffold_1_000091.1	indv_3	4536	leaves	male	rddm
_scaffold_1_004089.1	indv_3	1416	leaves	male	rddm
_scaffold_1_004088.1	indv_3	72	leaves	male	rddm
_scaffold_1_000092.1	indv_3	5232	leaves	male	rddm
_scaffold_1_000094.1	indv_3	144	leaves	male	rddm
_scaffold_1_000095.1	indv_3	5976	leaves	male	rddm
_scaffold_1_004087.1	indv_3	7152	leaves	male	rddm
_scaffold_1_002220.1_1	indv_3	192	leaves	male	rddm
_scaffold_1_000096.1	indv_3	7632	leaves	male	rddm
_scaffold_1_004084.1	indv_3	14448	leaves	male	rddm
_scaffold_1_004082.1	indv_3	2616	leaves	male	rddm
_scaffold_1_004079.1	indv_3	5784	leaves	male	rddm
_scaffold_1_004078.1	indv_3	4896	leaves	male	rddm
_scaffold_1_004076.1	indv_3	5736	leaves	male	rddm
_scaffold_1_004075.1	indv_3	5736	leaves	male	rddm
_scaffold_1_000100.1	indv_3	792	leaves	male	rddm
_scaffold_1_004073.1	indv_3	792	leaves	male	rddm
_scaffold_1_000103.1	indv_3	2016	leaves	male	rddm
_scaffold_1_000104.1	indv_3	3240	leaves	male	rddm
_scaffold_1_000106.1	indv_3	2520	leaves	male	rddm
_scaffold_1_000111.1	indv_3	96	leaves	male	rddm
_scaffold_1_000112.1	indv_3	504	leaves	male	rddm
_scaffold_1_004062.1	indv_3	0	leaves	male	rddm
_scaffold_1_004060.1	indv_3	72	leaves	male	rddm
_scaffold_1_004059.1	indv_3	48	leaves	male	rddm
_scaffold_1_004058.1	indv_3	0	leaves	male	rddm
_scaffold_1_004057.1	indv_3	24	leaves	male	rddm
_scaffold_1_004053.1	indv_3	0	leaves	male	rddm
_scaffold_1_000126.1	indv_3	240	leaves	male	rddm
_scaffold_1_004051.1	indv_3	768	leaves	male	rddm
_scaffold_1_004050.1	indv_3	744	leaves	male	rddm
_scaffold_1_004049.1	indv_3	4104	leaves	male	rddm
_scaffold_1_000128.1	indv_3	2016	leaves	male	rddm
_scaffold_1_004045.1	indv_3	1018	leaves	male	rddm
_scaffold_1_000130.1	indv_3	480	leaves	male	rddm
_scaffold_1_004037.1	indv_3	1608	leaves	male	rddm
_scaffold_1_000135.1	indv_3	696	leaves	male	rddm
_scaffold_1_000137.1	indv_3	4272	leaves	male	rddm
_scaffold_1_004027.1	indv_3	24	leaves	male	rddm
_scaffold_1_000140.1	indv_3	480	leaves	male	rddm
_scaffold_1_004018.1	indv_3	17772	leaves	male	rddm
_scaffold_1_000148.1	indv_3	16996	leaves	male	rddm
_scaffold_1_000149.1	indv_3	1464	leaves	male	rddm
_scaffold_1_004017.1	indv_3	2208	leaves	male	rddm
_scaffold_1_000151.1	indv_3	1584	leaves	male	rddm
_scaffold_1_004016.1	indv_3	216	leaves	male	rddm
_scaffold_1_004014.1	indv_3	3960	leaves	male	rddm
_scaffold_1_000153.1	indv_3	6302	leaves	male	rddm
_scaffold_1_000160.1	indv_3	5904	leaves	male	rddm
_scaffold_1_000161.1	indv_3	5880	leaves	male	rddm
_scaffold_1_004007.1	indv_3	48	leaves	male	rddm
_scaffold_1_004000.1	indv_3	7752	leaves	male	rddm
_scaffold_1_003996.1	indv_3	4056	leaves	male	rddm
_scaffold_1_003994.1	indv_3	120	leaves	male	rddm
_scaffold_1_000164.1	indv_3	240	leaves	male	rddm
_scaffold_1_000169.1	indv_3	9096	leaves	male	rddm
_scaffold_1_000170.1	indv_3	1200	leaves	male	rddm
_scaffold_1_000173.1	indv_3	2856	leaves	male	rddm
_scaffold_1_000174.1	indv_3	792	leaves	male	rddm
_scaffold_1_003985.1	indv_3	24	leaves	male	rddm
_scaffold_1_000179.1	indv_3	216	leaves	male	rddm
_scaffold_1_003981.1	indv_3	24	leaves	male	rddm
_scaffold_1_000180.1	indv_3	1632	leaves	male	rddm
_scaffold_1_003980.1	indv_3	1752	leaves	male	rddm
_scaffold_1_003978.1	indv_3	312	leaves	male	rddm
_scaffold_1_000182.1	indv_3	1536	leaves	male	rddm
_scaffold_1_000186.1	indv_3	2472	leaves	male	rddm
_scaffold_1_003968.1	indv_3	1560	leaves	male	rddm
_scaffold_1_003967.1	indv_3	4704	leaves	male	rddm
_scaffold_1_003961.1	indv_3	3432	leaves	male	rddm
_scaffold_1_003946.1	indv_3	10036	leaves	male	rddm
_scaffold_1_000193.1	indv_3	2088	leaves	male	rddm
_scaffold_1_000199.1	indv_3	384	leaves	male	rddm
_scaffold_1_003945.1	indv_3	5328	leaves	male	rddm
_scaffold_1_000206.1	indv_3	14712	leaves	male	rddm
_scaffold_1_000209.1	indv_3	24	leaves	male	rddm
_scaffold_1_003935.1	indv_3	6744	leaves	male	rddm
_scaffold_1_003929.1	indv_3	4224	leaves	male	rddm
_scaffold_1_000219.1	indv_3	1488	leaves	male	rddm
_scaffold_1_000221.1	indv_3	4056	leaves	male	rddm
_scaffold_1_000222.1	indv_3	0	leaves	male	rddm
_scaffold_1_000224.1	indv_3	4632	leaves	male	rddm
_scaffold_1_003928.1	indv_3	264	leaves	male	rddm
_scaffold_1_003926.1	indv_3	192	leaves	male	rddm
_scaffold_1_000233.1	indv_3	1032	leaves	male	rddm
_scaffold_1_000234.1	indv_3	7800	leaves	male	rddm
_scaffold_1_003921.1	indv_3	4104	leaves	male	rddm
_scaffold_1_003916.1	indv_3	0	leaves	male	rddm
_scaffold_1_000239.1	indv_3	312	leaves	male	rddm
_scaffold_1_000240.1	indv_3	120	leaves	male	rddm
_scaffold_1_000241.1	indv_3	1608	leaves	male	rddm
_scaffold_1_003906.1	indv_3	8592	leaves	male	rddm
_scaffold_1_003905.1	indv_3	9534	leaves	male	rddm
_scaffold_1_003904.1	indv_3	1008	leaves	male	rddm
_scaffold_1_000249.1	indv_3	720	leaves	male	rddm
_scaffold_1_000250.1	indv_3	384	leaves	male	rddm
_scaffold_1_000251.1	indv_3	6864	leaves	male	rddm
_scaffold_1_003902.1	indv_3	4440	leaves	male	rddm
_scaffold_1_003901.1	indv_3	792	leaves	male	rddm
_scaffold_1_000255.1	indv_3	312	leaves	male	rddm
_scaffold_1_000258.1	indv_3	48	leaves	male	rddm
_scaffold_1_000261.1	indv_3	13368	leaves	male	rddm
_scaffold_1_003899.1	indv_3	1056	leaves	male	rddm
_scaffold_1_003898.1	indv_3	3792	leaves	male	rddm
_scaffold_1_003897.1	indv_3	432	leaves	male	rddm
_scaffold_1_000263.1	indv_3	24	leaves	male	rddm
_scaffold_1_000264.1	indv_3	864	leaves	male	rddm
_scaffold_1_003894.1	indv_3	11136	leaves	male	rddm
_scaffold_1_003893.1	indv_3	11304	leaves	male	rddm
_scaffold_1_003892.1	indv_3	1320	leaves	male	rddm
_scaffold_1_000273.1	indv_3	2832	leaves	male	rddm
_scaffold_1_003883.1	indv_3	2064	leaves	male	rddm
_scaffold_1_003881.1	indv_3	96	leaves	male	rddm
_scaffold_1_000279.1	indv_3	2895	leaves	male	rddm
_scaffold_1_000282.1	indv_3	11664	leaves	male	rddm
_scaffold_1_003879.1	indv_3	3960	leaves	male	rddm
_scaffold_1_003878.1	indv_3	3581	leaves	male	rddm
_scaffold_1_000289.1	indv_3	0	leaves	male	rddm
_scaffold_1_003873.1	indv_3	3000	leaves	male	rddm
_scaffold_1_003872.1	indv_3	2688	leaves	male	rddm
_scaffold_1_000305.1	indv_3	1224	leaves	male	rddm
_scaffold_1_000306.1	indv_3	2064	leaves	male	rddm
_scaffold_1_000307.1	indv_3	1128	leaves	male	rddm
_scaffold_1_000308.1	indv_3	5496	leaves	male	rddm
_scaffold_1_000309.1	indv_3	5424	leaves	male	rddm
_scaffold_1_003862.1	indv_3	528	leaves	male	rddm
_scaffold_1_000312.1	indv_3	696	leaves	male	rddm
_scaffold_1_000314.1	indv_3	2040	leaves	male	rddm
_scaffold_1_003861.1	indv_3	984	leaves	male	rddm
_scaffold_1_000316.1	indv_3	384	leaves	male	rddm
_scaffold_1_000319.1	indv_3	5352	leaves	male	rddm
_scaffold_1_003860.1	indv_3	912	leaves	male	rddm
_scaffold_1_003859.1	indv_3	11371	leaves	male	rddm
_scaffold_1_003858.1	indv_3	14400	leaves	male	rddm
_scaffold_1_003857.1	indv_3	19584	leaves	male	rddm
_scaffold_1_003855.1	indv_3	312	leaves	male	rddm
_scaffold_1_000320.1	indv_3	840	leaves	male	rddm
_scaffold_1_000321.1	indv_3	8256	leaves	male	rddm
_scaffold_1_003847.1	indv_3	1224	leaves	male	rddm
_scaffold_1_003846.1	indv_3	384	leaves	male	rddm
_scaffold_1_000323.1	indv_3	384	leaves	male	rddm
_scaffold_1_000326.1	indv_3	336	leaves	male	rddm
_scaffold_1_000329.1	indv_3	2328	leaves	male	rddm
_scaffold_1_003845.1	indv_3	1752	leaves	male	rddm
_scaffold_1_003844.1	indv_3	1632	leaves	male	rddm
_scaffold_1_000330.1	indv_3	888	leaves	male	rddm
_scaffold_1_003843.1	indv_3	624	leaves	male	rddm
_scaffold_1_000331.1	indv_3	0	leaves	male	rddm
_scaffold_1_000332.1	indv_3	4680	leaves	male	rddm
_scaffold_1_000333.1	indv_3	2184	leaves	male	rddm
_scaffold_1_003836.1	indv_3	600	leaves	male	rddm
_scaffold_1_000339.1	indv_3	96	leaves	male	rddm
_scaffold_1_000341.1	indv_3	2232	leaves	male	rddm
_scaffold_1_003834.1	indv_3	7588	leaves	male	rddm
_scaffold_1_000343.1	indv_3	5568	leaves	male	rddm
_scaffold_1_000347.1	indv_3	144	leaves	male	rddm
_scaffold_1_000348.1	indv_3	72	leaves	male	rddm
_scaffold_1_003831.1	indv_3	168	leaves	male	rddm
_scaffold_1_003818.1	indv_3	48	leaves	male	rddm
_scaffold_1_000361.1	indv_3	861	leaves	male	rddm
_scaffold_1_003816.1	indv_3	6360	leaves	male	rddm
_scaffold_1_003815.1	indv_3	4368	leaves	male	rddm
_scaffold_1_000362.1	indv_3	3576	leaves	male	rddm
_scaffold_1_000369.1	indv_3	7200	leaves	male	rddm
_scaffold_1_003810.1	indv_3	4887	leaves	male	rddm
_scaffold_1_003809.1	indv_3	1392	leaves	male	rddm
_scaffold_1_003808.1	indv_3	512	leaves	male	rddm
_scaffold_1_003806.1	indv_3	792	leaves	male	rddm
_scaffold_1_000372.1	indv_3	2576	leaves	male	rddm
_scaffold_1_000373.1	indv_3	5088	leaves	male	rddm
_scaffold_1_000374.1	indv_3	5400	leaves	male	rddm
_scaffold_1_000375.1	indv_3	1968	leaves	male	rddm
_scaffold_1_000376.1	indv_3	3384	leaves	male	rddm
_scaffold_1_000377.1	indv_3	3792	leaves	male	rddm
_scaffold_1_003804.1	indv_3	408	leaves	male	rddm
_scaffold_1_000385.1	indv_3	912	leaves	male	rddm
_scaffold_1_003800.1	indv_3	5352	leaves	male	rddm
_scaffold_1_000386.1	indv_3	2592	leaves	male	rddm
_scaffold_1_003795.1	indv_3	3120	leaves	male	rddm
_scaffold_1_000394.1	indv_3	432	leaves	male	rddm
_scaffold_1_000395.1	indv_3	7104	leaves	male	rddm
_scaffold_1_000396.1	indv_3	624	leaves	male	rddm
_scaffold_1_003793.1	indv_3	1368	leaves	male	rddm
_scaffold_1_000398.1	indv_3	1319	leaves	male	rddm
_scaffold_1_000399.1	indv_3	1464	leaves	male	rddm
_scaffold_1_003792.1	indv_3	1416	leaves	male	rddm
_scaffold_1_003790.1	indv_3	3672	leaves	male	rddm
_scaffold_1_003787.1	indv_3	120	leaves	male	rddm
_scaffold_1_003782.1	indv_3	5616	leaves	male	rddm
_scaffold_1_003775.1	indv_3	2904	leaves	male	rddm
_scaffold_1_000402.1	indv_3	384	leaves	male	rddm
_scaffold_1_000403.1	indv_3	120	leaves	male	rddm
_scaffold_1_000407.1	indv_3	12960	leaves	male	rddm
_scaffold_1_000411.1	indv_3	4560	leaves	male	rddm
_scaffold_1_003770.1	indv_3	48	leaves	male	rddm
_scaffold_1_003769.1	indv_3	960	leaves	male	rddm
_scaffold_1_003766.1	indv_3	360	leaves	male	rddm
_scaffold_1_003764.1	indv_3	11280	leaves	male	rddm
_scaffold_1_003763.1	indv_3	11280	leaves	male	rddm
_scaffold_1_003760.1	indv_3	447	leaves	male	rddm
_scaffold_1_003752.1	indv_3	582	leaves	male	rddm
_scaffold_1_000414.1	indv_3	7728	leaves	male	rddm
_scaffold_1_003749.1	indv_3	5978	leaves	male	rddm
_scaffold_1_003748.1	indv_3	1320	leaves	male	rddm
_scaffold_1_003741.1	indv_3	2184	leaves	male	rddm
_scaffold_1_003735.1	indv_3	744	leaves	male	rddm
_scaffold_1_003734.1	indv_3	2808	leaves	male	rddm
_scaffold_1_003733.1	indv_3	744	leaves	male	rddm
_scaffold_1_003732.1	indv_3	192	leaves	male	rddm
_scaffold_1_000446.1	indv_3	4776	leaves	male	rddm
_scaffold_1_003721.1	indv_3	24	leaves	male	rddm
_scaffold_1_003717.1	indv_3	4222	leaves	male	rddm
_scaffold_1_003706.1	indv_3	2472	leaves	male	rddm
_scaffold_1_003705.1	indv_3	173	leaves	male	rddm
_scaffold_1_003704.1	indv_3	72	leaves	male	rddm
_scaffold_1_003700.1	indv_3	240	leaves	male	rddm
_scaffold_1_000467.1	indv_3	6096	leaves	male	rddm
_scaffold_1_000468.1	indv_3	1224	leaves	male	rddm
_scaffold_1_000469.1	indv_3	384	leaves	male	rddm
_scaffold_1_003698.1	indv_3	2424	leaves	male	rddm
_scaffold_1_000472.1	indv_3	6432	leaves	male	rddm
_scaffold_1_003688.1	indv_3	3648	leaves	male	rddm
_scaffold_1_000497.1	indv_3	7536	leaves	male	rddm
_scaffold_1_000511.1	indv_3	2256	leaves	male	rddm
_scaffold_1_000512.1	indv_3	936	leaves	male	rddm
_scaffold_1_003681.1	indv_3	5928	leaves	male	rddm
_scaffold_1_000523.1	indv_3	24	leaves	male	rddm
_scaffold_1_000522.1	indv_3	0	leaves	male	rddm
_scaffold_1_000528.1	indv_3	5356	leaves	male	rddm
_scaffold_1_003666.1	indv_3	7152	leaves	male	rddm
_scaffold_1_003662.1	indv_3	2640	leaves	male	rddm
_scaffold_1_003658.1	indv_3	24	leaves	male	rddm
_scaffold_1_003653.1	indv_3	6168	leaves	male	rddm
_scaffold_1_003646.1	indv_3	2040	leaves	male	rddm
_scaffold_1_000535.1	indv_3	3264	leaves	male	rddm
_scaffold_1_003645.1	indv_3	7800	leaves	male	rddm
_scaffold_1_000537.1	indv_3	7264	leaves	male	rddm
_scaffold_1_000541.1	indv_3	1632	leaves	male	rddm
_scaffold_1_003637.1	indv_3	18015	leaves	male	rddm
_scaffold_1_003630.1	indv_3	2928	leaves	male	rddm
_scaffold_1_000556.1	indv_3	2112	leaves	male	rddm
_scaffold_1_000558.1	indv_3	9792	leaves	male	rddm
_scaffold_1_000560.1	indv_3	11937	leaves	male	rddm
_scaffold_1_003616.1	indv_3	144	leaves	male	rddm
_scaffold_1_000561.1	indv_3	72	leaves	male	rddm
_scaffold_1_003615.1	indv_3	5737	leaves	male	rddm
_scaffold_1_000562.1	indv_3	624	leaves	male	rddm
_scaffold_1_003612.1	indv_3	48	leaves	male	rddm
_scaffold_1_000568.1	indv_3	1128	leaves	male	rddm
_scaffold_1_000569.1	indv_3	3543	leaves	male	rddm
_scaffold_1_000570.1	indv_3	2040	leaves	male	rddm
_scaffold_1_000571.1	indv_3	3072	leaves	male	rddm
_scaffold_1_003606.1	indv_3	9888	leaves	male	rddm
_scaffold_1_000574.1	indv_3	6456	leaves	male	rddm
_scaffold_1_003605.1	indv_3	7128	leaves	male	rddm
