gene	individual	counts	tissue	sex	path
_scaffold_1_000148.1	indv_1	3288	flowers	male	rddm
_scaffold_1_000149.1	indv_1	1176	flowers	male	rddm
_scaffold_1_004017.1	indv_1	480	flowers	male	rddm
_scaffold_1_000151.1	indv_1	336	flowers	male	rddm
_scaffold_1_004016.1	indv_1	168	flowers	male	rddm
_scaffold_1_004014.1	indv_1	768	flowers	male	rddm
_scaffold_1_000153.1	indv_1	2240	flowers	male	rddm
_scaffold_1_000160.1	indv_1	1560	flowers	male	rddm
_scaffold_1_000161.1	indv_1	552	flowers	male	rddm
_scaffold_1_004007.1	indv_1	48	flowers	male	rddm
_scaffold_1_004000.1	indv_1	2712	flowers	male	rddm
_scaffold_1_003996.1	indv_1	1728	flowers	male	rddm
_scaffold_1_003994.1	indv_1	360	flowers	male	rddm
_scaffold_1_000164.1	indv_1	120	flowers	male	rddm
_scaffold_1_000169.1	indv_1	968	flowers	male	rddm
_scaffold_1_000170.1	indv_1	864	flowers	male	rddm
_scaffold_1_000173.1	indv_1	1176	flowers	male	rddm
_scaffold_1_000174.1	indv_1	600	flowers	male	rddm
_scaffold_1_003985.1	indv_1	0	flowers	male	rddm
_scaffold_1_000179.1	indv_1	144	flowers	male	rddm
_scaffold_1_003981.1	indv_1	72	flowers	male	rddm
_scaffold_1_000180.1	indv_1	648	flowers	male	rddm
_scaffold_1_003980.1	indv_1	168	flowers	male	rddm
_scaffold_1_003978.1	indv_1	456	flowers	male	rddm
_scaffold_1_000182.1	indv_1	312	flowers	male	rddm
_scaffold_1_000186.1	indv_1	336	flowers	male	rddm
_scaffold_1_003968.1	indv_1	528	flowers	male	rddm
_scaffold_1_003967.1	indv_1	1392	flowers	male	rddm
_scaffold_1_003961.1	indv_1	1800	flowers	male	rddm
_scaffold_1_003946.1	indv_1	2112	flowers	male	rddm
_scaffold_1_000193.1	indv_1	395	flowers	male	rddm
_scaffold_1_000199.1	indv_1	216	flowers	male	rddm
_scaffold_1_003945.1	indv_1	672	flowers	male	rddm
_scaffold_1_000206.1	indv_1	5040	flowers	male	rddm
_scaffold_1_000209.1	indv_1	48	flowers	male	rddm
_scaffold_1_003935.1	indv_1	2208	flowers	male	rddm
_scaffold_1_003929.1	indv_1	1008	flowers	male	rddm
_scaffold_1_000219.1	indv_1	264	flowers	male	rddm
_scaffold_1_000221.1	indv_1	1440	flowers	male	rddm
_scaffold_1_000222.1	indv_1	24	flowers	male	rddm
_scaffold_1_000224.1	indv_1	1008	flowers	male	rddm
_scaffold_1_003928.1	indv_1	72	flowers	male	rddm
_scaffold_1_003926.1	indv_1	72	flowers	male	rddm
_scaffold_1_000233.1	indv_1	96	flowers	male	rddm
_scaffold_1_000234.1	indv_1	3240	flowers	male	rddm
_scaffold_1_003921.1	indv_1	2184	flowers	male	rddm
_scaffold_1_003916.1	indv_1	72	flowers	male	rddm
_scaffold_1_000239.1	indv_1	384	flowers	male	rddm
_scaffold_1_000240.1	indv_1	144	flowers	male	rddm
_scaffold_1_000241.1	indv_1	936	flowers	male	rddm
_scaffold_1_003906.1	indv_1	2400	flowers	male	rddm
_scaffold_1_003905.1	indv_1	2323	flowers	male	rddm
_scaffold_1_003904.1	indv_1	480	flowers	male	rddm
_scaffold_1_000249.1	indv_1	216	flowers	male	rddm
_scaffold_1_000250.1	indv_1	48	flowers	male	rddm
_scaffold_1_000251.1	indv_1	1488	flowers	male	rddm
_scaffold_1_003902.1	indv_1	120	flowers	male	rddm
_scaffold_1_003901.1	indv_1	765	flowers	male	rddm
_scaffold_1_000255.1	indv_1	48	flowers	male	rddm
_scaffold_1_000258.1	indv_1	144	flowers	male	rddm
_scaffold_1_000261.1	indv_1	4752	flowers	male	rddm
_scaffold_1_003899.1	indv_1	312	flowers	male	rddm
_scaffold_1_003898.1	indv_1	1512	flowers	male	rddm
_scaffold_1_003897.1	indv_1	312	flowers	male	rddm
_scaffold_1_000263.1	indv_1	0	flowers	male	rddm
_scaffold_1_000264.1	indv_1	48	flowers	male	rddm
_scaffold_1_003894.1	indv_1	1512	flowers	male	rddm
_scaffold_1_003893.1	indv_1	1488	flowers	male	rddm
_scaffold_1_003892.1	indv_1	480	flowers	male	rddm
_scaffold_1_000273.1	indv_1	888	flowers	male	rddm
_scaffold_1_003883.1	indv_1	696	flowers	male	rddm
